Serial Number,PRN,Balance,4-Digit PIN-Number,Status
78,PES2202100078,444,8746,Active
79,PES2202100079,495,6428,Active
80,PES2202100080,430,7166,Active
81,PES2202100081,476,5151,Active
82,PES2202100082,116,5062,Active
83,PES2202100083,288,5241,Active
84,PES2202100084,418,6008,Inactive
85,PES2202100085,252,7578,Active
86,PES2202100086,452,1574,Inactive
87,PES2202100087,213,7982,Active
88,PES2202100088,265,6505,Active
89,PES2202100089,443,8697,Inactive
90,PES2202100090,134,7179,Active
91,PES2202100091,375,7782,Active
92,PES2202100092,251,2802,Inactive
93,PES2202100093,114,8030,Active
94,PES2202100094,431,5078,Active
95,PES2202100095,192,7546,Inactive
96,PES2202100096,195,3622,Active
97,PES2202100097,123,9313,Inactive
98,PES2202100098,219,3037,Inactive
99,PES2202100099,205,8097,Inactive
100,PES2202100100,452,2186,Inactive
101,PES2202100101,139,1005,Active
102,PES2202100102,342,6624,Active
103,PES2202100103,267,5201,Inactive
104,PES2202100104,138,9048,Active
105,PES2202100105,281,9021,Active
106,PES2202100106,130,4375,Inactive
107,PES2202100107,260,2383,Inactive
108,PES2202100108,173,4253,Active
109,PES2202100109,149,4492,Inactive
110,PES2202100110,391,1226,Active
111,PES2202100111,278,2610,Active
112,PES2202100112,350,1212,Inactive
113,PES2202100113,429,3254,Active
114,PES2202100114,341,9466,Inactive
115,PES2202100115,496,4636,Inactive
116,PES2202100116,448,7012,Inactive
117,PES2202100117,476,4134,Active
118,PES2202100118,133,6127,Active
119,PES2202100119,284,2642,Active
120,PES2202100120,160,9741,Active
121,PES2202100121,363,4512,Inactive
122,PES2202100122,121,3427,Active
123,PES2202100123,418,5135,Active
124,PES2202100124,378,6967,Active
125,PES2202100125,289,2848,Active
126,PES2202100126,155,3137,Active
127,PES2202100127,230,6486,Active
128,PES2202100128,295,2569,Active
129,PES2202100129,227,1673,Active
130,PES2202100130,441,5226,Inactive
131,PES2202100131,403,6973,Active
132,PES2202100132,258,3388,Active
133,PES2202100133,245,6516,Active
134,PES2202100134,486,2832,Active
135,PES2202100135,486,8652,Inactive
136,PES2202100136,300,7271,Active
137,PES2202100137,309,8029,Active
138,PES2202100138,496,5323,Active
139,PES2202100139,373,9342,Inactive
140,PES2202100140,106,3699,Inactive
141,PES2202100141,356,9085,Active
142,PES2202100142,327,6062,Inactive
143,PES2202100143,344,2056,Active
144,PES2202100144,334,1567,Inactive
145,PES2202100145,209,4214,Inactive
146,PES2202100146,486,6100,Inactive
147,PES2202100147,386,3713,Active
148,PES2202100148,267,1836,Active
149,PES2202100149,500,2495,Active
150,PES2202100150,157,6975,Active
151,PES2202100151,179,3363,Inactive
152,PES2202100152,489,7493,Inactive
153,PES2202100153,358,9676,Active
154,PES2202100154,277,9544,Inactive
155,PES2202100155,445,7807,Active
156,PES2202100156,498,3691,Inactive
157,PES2202100157,408,9705,Active
158,PES2202100158,391,1172,Active
159,PES2202100159,354,1053,Active
160,PES2202100160,109,9605,Inactive
161,PES2202100161,161,1103,Active
162,PES2202100162,449,3390,Inactive
163,PES2202100163,311,9593,Inactive
164,PES2202100164,285,4235,Active
165,PES2202100165,414,7298,Active
166,PES2202100166,225,8051,Active
167,PES2202100167,151,3999,Inactive
168,PES2202100168,261,3231,Active
169,PES2202100169,269,1414,Inactive
170,PES2202100170,473,1045,Active
171,PES2202100171,398,3133,Inactive
172,PES2202100172,106,6307,Inactive
173,PES2202100173,323,9142,Active
174,PES2202100174,395,6757,Inactive
175,PES2202100175,189,8075,Inactive
176,PES2202100176,183,9994,Inactive
177,PES2202100177,199,3657,Active
178,PES2202100178,376,5976,Inactive
179,PES2202100179,171,5062,Active
180,PES2202100180,472,7460,Inactive
181,PES2202100181,194,7005,Active
182,PES2202100182,243,4236,Active
183,PES2202100183,164,6366,Inactive
184,PES2202100184,340,4070,Inactive
185,PES2202100185,272,8984,Inactive
186,PES2202100186,356,4597,Inactive
187,PES2202100187,494,6960,Inactive
188,PES2202100188,126,1257,Inactive
189,PES2202100189,371,2532,Inactive
190,PES2202100190,276,1762,Active
191,PES2202100191,444,9633,Inactive
192,PES2202100192,379,6087,Inactive
193,PES2202100193,419,5352,Inactive
194,PES2202100194,392,4258,Active
195,PES2202100195,110,3236,Active
196,PES2202100196,301,4692,Active
197,PES2202100197,466,2585,Active
198,PES2202100198,478,8723,Inactive
199,PES2202100199,405,4916,Inactive
200,PES2202100200,123,5272,Inactive
201,PES2202100201,184,8915,Active
202,PES2202100202,487,4941,Inactive
203,PES2202100203,159,4250,Active
204,PES2202100204,407,7893,Inactive
205,PES2202100205,434,1621,Active
206,PES2202100206,228,1953,Inactive
207,PES2202100207,485,4405,Inactive
208,PES2202100208,246,2664,Active
209,PES2202100209,384,9291,Active
210,PES2202100210,495,4561,Active
211,PES2202100211,190,5986,Inactive
212,PES2202100212,378,5654,Active
213,PES2202100213,339,3269,Active
214,PES2202100214,375,5528,Inactive
215,PES2202100215,283,8058,Active
216,PES2202100216,374,6562,Active
217,PES2202100217,484,9531,Active
218,PES2202100218,328,9874,Active
219,PES2202100219,154,1526,Active
220,PES2202100220,228,1143,Active
221,PES2202100221,440,5495,Inactive
222,PES2202100222,378,5038,Inactive
223,PES2202100223,145,3994,Inactive
224,PES2202100224,344,3832,Inactive
225,PES2202100225,357,3473,Active
226,PES2202100226,258,1151,Inactive
227,PES2202100227,322,7621,Active
228,PES2202100228,355,4294,Active
229,PES2202100229,145,1238,Active
230,PES2202100230,161,PES2202100001,400.0,3688,Active
7,6142,Active
232,PES2202100232,335,4558,Inactive
233,PES2202100233,222,1569,Active
234,PES2202100234,349,7849,Active
235,PES2202100235,472,7881,Active
236,PES2202100236,161,4710,Inactive
237,PES2202100237,195,6569,Inactive
238,PES2202100238,380,3943,Inactive
239,PES2202100239,391,1253,Inactive
240,PES2202100240,204,3485,Active
241,PES2202100241,220,9399,Active
242,PES2202100242,221,8427,Inactive
243,PES2202100243,471,3453,Active
244,PES2202100244,154,6450,Inactive
245,PES2202100245,331,7146,Active
246,PES2202100246,267,5735,Active
247,PES2202100247,284,5952,Active
248,PES2202100248,233,5885,Active
249,PES2202100249,123,2689,Active
250,PES2202100250,188,6002,Active
251,PES2202100251,326,9625,Active
252,PES2202100252,298,4188,Active
253,PES2202100253,270,5658,Inactive
254,PES2202100254,363,9091,Active
255,PES2202100255,142,9932,Inactive
256,PES2202100256,423,1006,Inactive
257,PES2202100257,311,6614,Inactive
258,PES2202100258,470,6152,Inactive
259,PES2202100259,135,2691,Active
260,PES2202100260,242,5030,Active
261,PES2202100261,280,9803,Inactive
262,PES2202100262,330,1646,Inactive
263,PES2202100263,455,8237,Active
264,PES2202100264,479,9700,Inactive
265,PES2202100265,391,9938,Active
266,PES2202100266,347,6107,Active
267,PES2202100267,283,7331,Inactive
268,PES2202100268,155,7685,Active
269,PES2202100269,357,6823,Inactive
270,PES2202100270,496,4121,Active
271,PES2202100271,155,1452,Active
272,PES2202100272,353,3827,Active
273,PES2202100273,396,4838,Inactive
274,PES2202100274,159,1227,Active
275,PES2202100275,404,1583,Inactive
276,PES2202100276,168,3409,Active
277,PES2202100277,475,2719,Inactive
278,PES2202100278,329,4013,Inactive
279,PES2202100279,359,9974,Inactive
280,PES2202100280,444,9300,Inactive
281,PES2202100281,293,3565,Inactive
282,PES2202100282,474,4422,Active
283,PES2202100283,401,7033,Inactive
284,PES2202100284,296,7259,Active
285,PES2202100285,353,5286,Active
286,PES2202100286,360,7178,Inactive
287,PES2202100287,445,8048,Active
288,PES2202100288,323,9010,Active
289,PES2202100289,179,2843,Inactive
290,PES2202100290,152,2674,Active
291,PES2202100291,135,4649,Active
292,PES2202100292,257,8080,Active
293,PES2202100293,231,3741,Inactive
294,PES2202100294,229,7694,Inactive
295,PES2202100295,209,8735,Active
296,PES2202100296,445,7929,Inactive
297,PES2202100297,289,5340,Inactive
298,PES2202100298,116,8542,Active
299,PES2202100299,314,1395,Inactive
300,PES2202100300,304,7541,Inactive
301,PES2202100301,132,2353,Inactive
302,PES2202100302,478,2972,Inactive
303,PES2202100303,410,7233,Inactive
304,PES2202100304,267,6916,Active
305,PES2202100305,289,6493,Active
306,PES2202100306,453,4562,Inactive
307,PES2202100307,397,1409,Active
308,PES2202100308,134,3578,Active
309,PES2202100309,297,3214,Active
310,PES2202100310,307,8023,Active
311,PES2202100311,458,9576,Inactive
312,PES2202100312,337,6058,Active
313,PES2202100313,471,3312,Inactive
314,PES2202100314,344,7720,Inactive
315,PES2202100315,315,9834,Active
316,PES2202100316,373,6938,Active
317,PES2202100317,329,1816,Inactive
318,PES2202100318,291,5630,Inactive
319,PES2202100319,395,2076,Inactive
320,PES2202100320,385,6721,Active
321,PES2202100321,259,6063,Active
322,PES2202100322,159,3744,Active
323,PES2202100323,473,1663,Active
324,PES2202100324,394,3423,Inactive
325,PES2202100325,180,2030,Active
326,PES2202100326,339,4907,Active
327,PES2202100327,134,9653,Inactive
328,PES2202100328,309,2309,Inactive
329,PES2202100329,338,5006,Active
330,PES2202100330,445,3989,Inactive
331,PES2202100331,237,3144,Active
332,PES2202100332,229,4048,Inactive
333,PES2202100333,212,4008,Inactive
334,PES2202100334,475,9447,Inactive
335,PES2202100335,265,6071,Inactive
336,PES2202100336,264,9150,Active
337,PES2202100337,169,7709,Inactive
338,PES2202100338,486,9319,Active
339,PES2202100339,257,6293,Inactive
340,PES2202100340,438,3566,Active
341,PES2202100341,471,8670,Active
342,PES2202100342,487,3051,Inactive
343,PES2202100343,195,6793,Active
344,PES2202100344,317,4107,Inactive
345,PES2202100345,389,5717,Active
346,PES2202100346,493,5643,Active
347,PES2202100347,281,2257,Active
348,PES2202100348,221,4932,Active
349,PES2202100349,138,5967,Active
350,PES2202100350,238,9779,Active
351,PES2202100351,433,6335,Inactive
352,PES2202100352,315,6662,Inactive
353,PES2202100353,172,4862,Active
354,PES2202100354,322,1939,Active
355,PES2202100355,270,3685,Active
356,PES2202100356,467,5978,Active
357,PES2202100357,470,6245,Inactive
358,PES2202100358,187,6039,Active
359,PES2202100359,327,2497,Inactive
360,PES2202100360,167,7687,Inactive
361,PES2202100361,206,7111,Inactive
362,PES2202100362,369,9159,Inactive
363,PES2202100363,161,2747,Inactive
364,PES2202100364,155,4094,Active
365,PES2202100365,184,7688,Inactive
366,PES2202100366,210,7464,Inactive
367,PES2202100367,118,3348,Active
368,PES2202100368,341,7911,Inactive
369,PES2202100369,165,3397,Active
370,PES2202100370,355,1601,Inactive
371,PES2202100371,321,7950,Inactive
372,PES2202100372,221,1363,Inactive
373,PES2202100373,197,5611,Inactive
374,PES2202100374,354,1458,Inactive
375,PES2202100375,114,1198,Active
376,PES2202100376,432,1635,Active
377,PES2202100377,154,8142,Inactive
378,PES2202100378,190,6025,Active
379,PES2202100379,423,7379,Inactive
380,PES2202100380,492,1847,Active
381,PES2202100381,154,7155,Inactive
382,PES2202100382,405,5481,Inactive
383,PES2202100383,414,6580,Inactive
384,PES2202100384,203,8441,Active
385,PES2202100385,295,5257,Active
386,PES2202100386,315,5512,Active
387,PES2202100387,163,2050,Inactive
388,PES2202100388,224,4075,Active
389,PES2202100389,446,1681,Inactive
390,PES2202100390,349,5601,Inactive
391,PES2202100391,313,4263,Active
392,PES2202100392,135,2123,Active
393,PES2202100393,496,5764,Inactive
394,PES2202100394,334,3098,Inactive
395,PES2202100395,107,4372,Inactive
396,PES2202100396,465,5246,Inactive
397,PES2202100397,124,1403,Inactive
398,PES2202100398,244,5767,Inactive
399,PES2202100399,142,2837,Active
400,PES2202100400,491,8127,Inactive
401,PES2202100401,305,1158,Active
402,PES2202100402,130,3049,Active
403,PES2202100403,298,2193,Inactive
404,PES2202100404,159,6816,Active
405,PES2202100405,191,5775,Inactive
406,PES2202100406,148,5388,Active
407,PES2202100407,334,6254,Active
408,PES2202100408,263,5524,Inactive
409,PES2202100409,245,5667,Inactive
410,PES2202100410,198,2523,Active
411,PES2202100411,137,9117,Active
412,PES2202100412,128,1936,Inactive
413,PES2202100413,458,8528,Inactive
414,PES2202100414,311,1004,Inactive
415,PES2202100415,469,7192,Inactive
416,PES2202100416,120,1479,Active
417,PES2202100417,187,4281,Inactive
418,PES2202100418,272,4251,Active
419,PES2202100419,110,8754,Inactive
420,PES2202100420,451,3555,Active
421,PES2202100421,129,5701,Active
422,PES2202100422,172,7164,Active
423,PES2202100423,110,2096,Active
424,PES2202100424,307,9966,Inactive
425,PES2202100425,398,6000,Inactive
426,PES2202100426,222,5737,Inactive
427,PES2202100427,390,5958,Inactive
428,PES2202100428,384,2778,Active
429,PES2202100429,187,2010,Inactive
430,PES2202100430,201,1873,Active
431,PES2202100431,360,4745,Inactive
432,PES2202100432,422,3233,Active
433,PES2202100433,417,7580,Active
434,PES2202100434,341,5351,Inactive
435,PES2202100435,146,1777,Active
436,PES2202100436,269,4760,Inactive
437,PES2202100437,251,5957,Inactive
438,PES2202100438,283,5461,Active
439,PES2202100439,445,2280,Inactive
440,PES2202100440,322,6556,Active
441,PES2202100441,150,1658,Active
442,PES2202100442,100,9220,Inactive
443,PES2202100443,168,9273,Active
444,PES2202100444,462,9285,Inactive
445,PES2202100445,287,6019,Inactive
446,PES2202100446,345,2993,Active
447,PES2202100447,169,9108,Inactive
448,PES2202100448,241,6422,Inactive
449,PES2202100449,304,5335,Active
450,PES2202100450,310,6166,Active
451,PES2202100451,190,4382,Active
452,PES2202100452,286,6640,Inactive
453,PES2202100453,235,3313,Active
454,PES2202100454,255,9218,Inactive
455,PES2202100455,475,6543,Inactive
456,PES2202100456,346,7605,Inactive
457,PES2202100457,424,1316,Active
458,PES2202100458,246,3900,Inactive
459,PES2202100459,172,3778,Inactive
460,PES2202100460,337,9340,Inactive
461,PES2202100461,475,1400,Active
462,PES2202100462,298,7936,Inactive
463,PES2202100463,162,6603,Active
464,PES2202100464,478,5319,Inactive
465,PES2202100465,226,4359,Inactive
466,PES2202100466,107,8044,Active
467,PES2202100467,256,4459,Inactive
468,PES2202100468,109,5134,Inactive
469,PES2202100469,429,3755,Inactive
470,PES2202100470,322,8893,Active
471,PES2202100471,132,6604,Inactive
472,PES2202100472,314,1656,Inactive
473,PES2202100473,237,9182,Active
474,PES2202100474,294,3484,Active
475,PES2202100475,254,6443,Inactive
476,PES2202100476,417,8157,Inactive
477,PES2202100477,225,7025,Active
478,PES2202100478,349,1508,Active
479,PES2202100479,346,8215,Active
480,PES2202100480,349,2578,Active
481,PES2202100481,227,6323,Active
482,PES2202100482,226,8221,Inactive
483,PES2202100483,331,1604,Active
484,PES2202100484,150,7931,Active
485,PES2202100485,267,2810,Active
486,PES2202100486,330,5088,Active
487,PES2202100487,264,5950,Inactive
488,PES2202100488,355,6452,Inactive
489,PES2202100489,295,5237,Inactive
490,PES2202100490,237,3919,Active
491,PES2202100491,479,4832,Inactive
492,PES2202100492,304,1468,Inactive
493,PES2202100493,435,3314,Inactive
494,PES2202100494,470,8692,Inactive
495,PES2202100495,210,5230,Active
496,PES2202100496,336,1307,Inactive
497,PES2202100497,299,3355,Active
498,PES2202100498,368,5166,Inactive
499,PES2202100499,139,6125,Inactive
500,PES2202100500,489,9469,Active
501,PES2202100501,185,6585,Active
502,PES2202100502,361,6486,Active
503,PES2202100503,478,1510,Active
504,PES2202100504,191,4505,Inactive
505,PES2202100505,144,8809,Active
506,PES2202100506,180,6605,Active
507,PES2202100507,186,4020,Inactive
508,PES2202100508,169,4185,Inactive
509,PES2202100509,259,8751,Active
510,PES2202100510,456,2312,Active
511,PES2202100511,221,2896,Inactive
512,PES2202100512,469,4400,Active
513,PES2202100513,427,1542,Active
514,PES2202100514,330,7911,Active
515,PES2202100515,437,8459,Inactive
516,PES2202100516,447,7890,Active
517,PES2202100517,352,7407,Inactive
518,PES2202100518,185,4473,Active
519,PES2202100519,400,8073,Inactive
520,PES2202100520,345,9809,Active
521,PES2202100521,208,6946,Active
522,PES2202100522,308,3041,Inactive
523,PES2202100523,287,3988,Active
524,PES2202100524,452,8547,Active
525,PES2202100525,287,3831,Inactive
526,PES2202100526,459,8523,Active
527,PES2202100527,482,9272,Inactive
528,PES2202100528,370,1219,Active
529,PES2202100529,336,9999,Active
530,PES2202100530,120,4680,Active
531,PES2202100531,104,6249,Active
532,PES2202100532,307,2687,Inactive
533,PES2202100533,158,1651,Inactive
534,PES2202100534,474,3381,Inactive
535,PES2202100535,487,6160,Active
536,PES2202100536,214,4620,Inactive
537,PES2202100537,138,2841,Active
538,PES2202100538,343,2902,Inactive
539,PES2202100539,375,4270,Inactive
540,PES2202100540,440,1293,Active
541,PES2202100541,326,9196,Active
542,PES2202100542,284,9001,Active
543,PES2202100543,437,5882,Inactive
544,PES2202100544,469,9134,Inactive
545,PES2202100545,402,3425,Inactive
546,PES2202100546,102,6786,Active
547,PES2202100547,106,8844,Active
548,PES2202100548,309,1095,Active
549,PES2202100549,282,2113,Inactive
550,PES2202100550,422,1840,Inactive
551,PES2202100551,256,1384,Active
552,PES2202100552,121,6790,Active
553,PES2202100553,437,7010,Active
554,PES2202100554,435,4176,Inactive
555,PES2202100555,367,3792,Inactive
556,PES2202100556,343,7928,Active
557,PES2202100557,184,7804,Active
558,PES2202100558,227,4528,Inactive
559,PES2202100559,349,9371,Active
560,PES2202100560,196,5854,Inactive
561,PES2202100561,271,4051,Active
562,PES2202100562,306,5023,Inactive
563,PES2202100563,240,1845,Inactive
564,PES2202100564,140,1776,Inactive
565,PES2202100565,122,2529,Active
566,PES2202100566,152,1518,Inactive
567,PES2202100567,145,8408,Inactive
568,PES2202100568,216,4455,Active
569,PES2202100569,347,7663,Inactive
570,PES2202100570,403,1643,Inactive
571,PES2202100571,302,6770,Inactive
572,PES2202100572,116,9465,Inactive
573,PES2202100573,179,9953,Inactive
574,PES2202100574,482,4774,Inactive
575,PES2202100575,157,3348,Inactive
576,PES2202100576,292,6356,Active
577,PES2202100577,154,9179,Inactive
578,PES2202100578,128,5523,Active
579,PES2202100579,273,3618,Active
580,PES2202100580,221,5623,Active
581,PES2202100581,368,3579,Inactive
582,PES2202100582,116,5572,Inactive
583,PES2202100583,478,8517,Inactive
584,PES2202100584,202,5251,Active
585,PES2202100585,144,5029,Inactive
586,PES2202100586,343,9764,Inactive
587,PES2202100587,205,4135,Inactive
588,PES2202100588,193,8923,Active
589,PES2202100589,212,3292,Inactive
590,PES2202100590,251,1078,Inactive
591,PES2202100591,247,5785,Active
592,PES2202100592,363,9001,Active
593,PES2202100593,385,2717,Inactive
594,PES2202100594,305,5949,Active
595,PES2202100595,284,1318,Inactive
596,PES2202100596,199,7677,Active
597,PES2202100597,429,4076,Inactive
598,PES2202100598,370,4104,Inactive
599,PES2202100599,454,5924,Active
600,PES2202100600,170,8329,Inactive
601,PES2202100601,258,7504,Active
602,PES2202100602,183,8056,Active
603,PES2202100603,146,7909,Inactive
604,PES2202100604,101,9772,Active
605,PES2202100605,383,1373,Inactive
606,PES2202100606,208,7591,Inactive
607,PES2202100607,128,1665,Inactive
608,PES2202100608,358,6647,Inactive
609,PES2202100609,270,2104,Inactive
610,PES2202100610,241,8526,Inactive
611,PES2202100611,174,9405,Active
612,PES2202100612,490,7516,Active
613,PES2202100613,297,8774,Inactive
614,PES2202100614,389,5015,Inactive
615,PES2202100615,484,2941,Active
616,PES2202100616,208,4010,Inactive
617,PES2202100617,409,1271,Active
618,PES2202100618,106,9685,Active
619,PES2202100619,477,1984,Active
620,PES2202100620,153,5436,Inactive
621,PES2202100621,415,2268,Inactive
622,PES2202100622,262,1811,Active
623,PES2202100623,479,7593,Inactive
624,PES2202100624,178,2260,Inactive
625,PES2202100625,347,5565,Active
626,PES2202100626,294,6644,Inactive
627,PES2202100627,148,1315,Active
628,PES2202100628,488,7535,Inactive
629,PES2202100629,493,6189,Inactive
630,PES2202100630,404,4144,Active
631,PES2202100631,335,4162,Active
632,PES2202100632,466,1548,Active
633,PES2202100633,367,2814,Active
634,PES2202100634,263,7933,Active
635,PES2202100635,245,7216,Inactive
636,PES2202100636,408,6358,Active
637,PES2202100637,103,8286,Active
638,PES2202100638,366,3792,Active
639,PES2202100639,354,6789,Active
640,PES2202100640,496,2224,Inactive
641,PES2202100641,404,3890,Active
642,PES2202100642,497,7372,Active
643,PES2202100643,424,6650,Inactive
644,PES2202100644,158,4800,Inactive
645,PES2202100645,374,8081,Inactive
646,PES2202100646,211,5292,Active
647,PES2202100647,316,7553,Inactive
648,PES2202100648,392,8468,Inactive
649,PES2202100649,316,2016,Active
650,PES2202100650,410,7594,Active
651,PES2202100651,491,5830,Active
652,PES2202100652,242,2753,Inactive
653,PES2202100653,347,9621,Active
654,PES2202100654,173,1003,Active
655,PES2202100655,254,2127,Inactive
656,PES2202100656,401,2828,Inactive
657,PES2202100657,282,6234,Inactive
658,PES2202100658,341,1481,Active
659,PES2202100659,106,5482,Inactive
660,PES2202100660,465,9333,Active
661,PES2202100661,109,2242,Active
662,PES2202100662,112,4402,Inactive
663,PES2202100663,204,5308,Active
664,PES2202100664,255,2443,Active
665,PES2202100665,423,7143,Inactive
666,PES2202100666,180,2248,Active
667,PES2202100667,311,1384,Active
668,PES2202100668,353,2475,Active
669,PES2202100669,194,8390,Active
670,PES2202100670,170,5032,Active
671,PES2202100671,263,7294,Inactive
672,PES2202100672,314,2974,Active
673,PES2202100673,176,6336,Inactive
674,PES2202100674,451,1815,Inactive
675,PES2202100675,270,9695,Active
676,PES2202100676,116,7594,Active
677,PES2202100677,500,1519,Inactive
678,PES2202100678,312,3610,Inactive
679,PES2202100679,378,7246,Active
680,PES2202100680,442,5394,Active
681,PES2202100681,187,4392,Inactive
682,PES2202100682,486,1816,Active
683,PES2202100683,293,4062,Inactive
684,PES2202100684,382,6674,Inactive
685,PES2202100685,411,3680,Active
686,PES2202100686,170,5004,Inactive
687,PES2202100687,322,5081,Inactive
688,PES2202100688,312,6431,Active
689,PES2202100689,390,9148,Inactive
690,PES2202100690,215,8212,Inactive
691,PES2202100691,323,9052,Inactive
692,PES2202100692,399,9754,Active
693,PES2202100693,120,1455,Active
694,PES2202100694,322,7469,Active
695,PES2202100695,321,2845,Active
696,PES2202100696,171,5260,Active
697,PES2202100697,315,4294,Active
698,PES2202100698,487,9723,Inactive
699,PES2202100699,487,2043,Active
700,PES2202100700,141,3302,Active
701,PES2202100701,406,1118,Active
702,PES2202100702,104,6864,Active
703,PES2202100703,141,1528,Active
704,PES2202100704,290,7417,Active
705,PES2202100705,130,5301,Active
706,PES2202100706,396,2293,Inactive
707,PES2202100707,412,1263,Inactive
708,PES2202100708,240,1534,Active
709,PES2202100709,429,6986,Active
710,PES2202100710,431,8530,Active
711,PES2202100711,445,3236,Active
712,PES2202100712,101,1635,Active
713,PES2202100713,199,4690,Inactive
714,PES2202100714,445,7978,Active
715,PES2202100715,473,9970,Inactive
716,PES2202100716,385,7500,Inactive
717,PES2202100717,477,8847,Inactive
718,PES2202100718,248,7894,Active
719,PES2202100719,300,3082,Active
720,PES2202100720,374,1550,Inactive
721,PES2202100721,435,1849,Inactive
722,PES2202100722,395,3408,Active
723,PES2202100723,171,6609,Active
724,PES2202100724,265,9144,Active
725,PES2202100725,125,5828,Inactive
726,PES2202100726,125,6483,Active
727,PES2202100727,472,5357,Active
728,PES2202100728,482,6387,Inactive
729,PES2202100729,144,2450,Active
730,PES2202100730,199,8601,Active
731,PES2202100731,257,2493,Inactive
732,PES2202100732,159,2426,Active
733,PES2202100733,193,3402,Inactive
734,PES2202100734,354,3319,Inactive
735,PES2202100735,476,4451,Active
736,PES2202100736,399,7178,Inactive
737,PES2202100737,106,7276,Inactive
738,PES2202100738,144,7784,Active
739,PES2202100739,396,6528,Inactive
740,PES2202100740,411,1344,Active
741,PES2202100741,110,8104,Active
742,PES2202100742,200,8468,Active
743,PES2202100743,107,3559,Inactive
744,PES2202100744,159,3715,Active
745,PES2202100745,112,1622,Inactive
746,PES2202100746,188,7465,Active
747,PES2202100747,490,7576,Inactive
748,PES2202100748,302,9477,Inactive
749,PES2202100749,178,8784,Active
750,PES2202100750,151,1359,Inactive
751,PES2202100751,307,1617,Active
752,PES2202100752,242,4668,Active
753,PES2202100753,270,6142,Active
754,PES2202100754,189,2021,Inactive
755,PES2202100755,302,7789,Active
756,PES2202100756,416,1085,Inactive
757,PES2202100757,459,2202,Inactive
758,PES2202100758,330,7928,Active
759,PES2202100759,230,3499,Active
760,PES2202100760,487,6104,Inactive
761,PES2202100761,303,5739,Inactive
762,PES2202100762,425,2211,Inactive
763,PES2202100763,391,4179,Active
764,PES2202100764,484,3422,Inactive
765,PES2202100765,103,2871,Inactive
766,PES2202100766,387,2716,Active
767,PES2202100767,351,9628,Active
768,PES2202100768,269,2805,Inactive
769,PES2202100769,202,7340,Inactive
770,PES2202100770,193,6764,Inactive
771,PES2202100771,467,9735,Active
772,PES2202100772,203,6815,Active
773,PES2202100773,319,2770,Inactive
774,PES2202100774,225,1733,Inactive
775,PES2202100775,486,9415,Inactive
